code,title,year,ratings_avg,nations,genres
mdErj22,엑시트,2019,7.979415181241834,['한국'],"['코미디', '액션', '재난', '가족']"
moW4XlW,쉰들러 리스트,1993,8.394381874419185,['미국'],"['전기', '드라마', '역사', '전쟁']"
mO2MKGW,터미널,2004,7.909847183029788,['미국'],"['코미디', '드라마', '로맨스']"
mOgmjY5,관상,2013,7.370677339645059,['한국'],"['드라마', '시대극', '역사']"
tl9gDDb,호심,2023,8.28159645232816,['중국'],"['판타지', '드라마', 'TV드라마']"
mM5r8jO,더 문,2009,7.41756557979897,"['영국', '미국']","['드라마', '미스터리', 'SF']"
mdEw9nb,위플래쉬,2014,8.111353872762342,['미국'],"['드라마', '음악']"
m5ZXYKL,그레이의 50가지 그림자,2015,6.005543092260797,['미국'],"['드라마', '로맨스', '스릴러']"
mdjawmz,서치,2018,7.7582122618622575,"['미국', '러시아']","['드라마', '미스터리', '스릴러']"
m5rgjEW,오블리비언,2013,6.925566938902552,['미국'],"['액션', '모험', 'SF']"
m5eJ1wR,아이 캔 스피크,2017,7.888546770568948,['한국'],['드라마']
tPVd37N,수업중입니다 2,2023,8.1625,['한국'],"['드라마', '로맨스', 'BL', 'TV드라마']"
mVWzB0W,오페라의 유령,2004,7.621453871179064,"['영국', '미국']","['로맨스', '뮤지컬', '음악', '드라마']"
m5Qq28G,스파이더맨: 홈커밍,2017,8.269783627560749,['미국'],"['액션', '모험', 'SF']"
m6dRKb5,아이덴티티,2003,8.076424277858933,['미국'],"['공포', '스릴러']"
m9dBPzW,해리가 샐리를 만났을 때,1989,7.774923758118644,['미국'],"['코미디', '드라마', '로맨스', '로맨틱 코미디']"
m5XMP4W,디센트,2005,6.596411259839018,['영국'],"['모험', '공포', '스릴러']"
mWv1lb5,범죄와의 전쟁 : 나쁜놈들 전성시대,2012,8.054031524238987,['한국'],"['액션', '범죄', '드라마']"
my5Yqj5,원스 어폰 어 타임 인 아메리카,1984,8.094108633281168,"['이탈리아', '미국']","['범죄', '드라마']"
mOVvJrq,미 비포 유,2016,7.866578915878904,"['영국', '미국']","['드라마', '로맨스']"
tPrz9Zw,하이큐!! TO THE TOP,2020,9.259550356424786,['일본'],"['애니메이션', '코미디', '드라마', '스포츠']"
mdEw3GE,동급생,2016,8.570445797807551,['일본'],"['애니메이션', '드라마', '로맨스', 'BL']"
mOgB6YW,스크림,1996,6.873551963048499,['미국'],"['공포', '미스터리']"
mY5QaG5,미션 임파서블,1996,8.079520422498137,['미국'],"['액션', '모험', '스릴러']"
tPDOwA1,문호 스트레이독스 5기,2023,8.922048997772828,['일본'],"['애니메이션', '액션', '코미디', '범죄', '판타지', '미스터리']"
mdKy7RW,장고: 분노의 추적자,2012,7.860774869430937,['미국'],"['드라마', '서부극']"
mdBzxzd,12명의 성난 사람들,1957,8.54487035693079,['미국'],"['범죄', '드라마']"
m5m1YNG,완벽한 타인,2018,7.642064431361143,['한국'],"['코미디', '드라마']"
mOb4jX5,썸머워즈,2009,7.530358269648741,['일본'],"['애니메이션', 'SF', '모험']"
mQO8625,김씨 표류기,2009,6.953071484451193,['한국'],"['드라마', '로맨스', '코미디']"
m5QqX75,크로우즈 제로,2007,7.1097310338665,['일본'],"['스릴러', '틴에이저', '액션']"
mdjwRKw,말모이,2018,7.564131980625826,['한국'],['드라마']
mdMgAmm,나를 찾아줘,2014,7.865403656821378,['미국'],"['드라마', '미스터리', '스릴러']"
m5YKE2j,미드소마,2019,6.777203193825152,"['미국', '스웨덴', '헝가리']","['드라마', '공포', '미스터리', '스릴러']"
mWwBMP3,불한당: 나쁜 놈들의 세상,2016,7.586643032597072,['한국'],"['범죄', '액션', '드라마']"
tPJZKMp,"이쪽을 봐줘, 무카이군",2023,7.910621761658031,['일본'],"['로맨스', '코미디', '로맨틱 코미디', 'TV드라마']"
mW4Gpo5,브레이킹 던 part1,2011,7.269899768327314,['미국'],"['모험', '드라마', '판타지', '로맨스', '스릴러']"
m5DEeQW,브레이킹 던 part2,2012,7.312304010756783,['미국'],"['모험', '드라마', '판타지', '로맨스']"
m5rwLXm,타짜: 원 아이드 잭,2019,5.629606351730949,['한국'],"['범죄', '드라마']"
tEZAgkK,VIVANT,2023,7.257178526841448,['일본'],"['드라마', 'TV드라마']"
mO8KzlX,싱 스트리트,2016,7.934226222632847,"['아일랜드', '영국']","['코미디', '드라마', '음악', '로맨스']"
mO02n15,설국열차,2013,7.5215732558366915,['한국'],"['액션', 'SF', '스릴러', '모험', '드라마']"
mObMNNW,인 타임,2011,7.144774564034016,['미국'],"['액션', 'SF', '스릴러']"
